,noisy guesser:w2v:0.0,noisy guesser:w2v:0.25,noisy guesser:w2v:0.5,noisy guesser:w2v:0.75,noisy guesser:w2v:1.0,noisy guesser:glove 300:0.0,noisy guesser:glove 300:0.25,noisy guesser:glove 300:0.5,noisy guesser:glove 300:0.75,noisy guesser:glove 300:1.0,noisy guesser:cn_nb:0.0,noisy guesser:cn_nb:0.25,noisy guesser:cn_nb:0.5,noisy guesser:cn_nb:0.75,noisy guesser:cn_nb:1.0,noisy guesser:d2v:0.0,noisy guesser:d2v:0.25,noisy guesser:d2v:0.5,noisy guesser:d2v:0.75,noisy guesser:d2v:1.0,noisy guesser:glove 100:0.0,noisy guesser:glove 100:0.25,noisy guesser:glove 100:0.5,noisy guesser:glove 100:0.75,noisy guesser:glove 100:1.0,noisy guesser:fast-text:0.0,noisy guesser:fast-text:0.25,noisy guesser:fast-text:0.5,noisy guesser:fast-text:0.75,noisy guesser:fast-text:1.0,noisy guesser:w2v_glove_300:0.0,noisy guesser:w2v_glove_300:0.25,noisy guesser:w2v_glove_300:0.5,noisy guesser:w2v_glove_300:0.75,noisy guesser:w2v_glove_300:1.0,noisy guesser:elmo:0.0,noisy guesser:elmo:0.25,noisy guesser:elmo:0.5,noisy guesser:elmo:0.75,noisy guesser:elmo:1.0,bayesian guesser:0.0:0:1,bayesian guesser:0.0:1:0,bayesian guesser:0.0:0.5:0.5,bayesian guesser:0.25:0:1,bayesian guesser:0.25:1:0,bayesian guesser:0.25:0.5:0.5,bayesian guesser:0.5:0:1,bayesian guesser:0.5:1:0,bayesian guesser:0.5:0.5:0.5,bayesian guesser:0.75:0:1,bayesian guesser:0.75:1:0,bayesian guesser:0.75:0.5:0.5,bayesian guesser:1.0:0:1,bayesian guesser:1.0:1:0,bayesian guesser:1.0:0.5:0.5
noisy spymaster:cn_nb:0.5,3.696,3.848,3.81,3.902,3.986,3.672,3.538,3.548,3.716,3.834,2.522,3.702,3.8,3.864,3.922,3.946,3.934,4.018,4.088,4.166,3.478,3.56,3.642,3.686,3.742,3.596,3.63,3.868,3.878,3.972,3.71,3.54,3.61,3.718,3.86,3.592,3.54,3.594,3.596,3.692,3.586,3.894,3.746,3.048,3.318,3.218,2.764,3.224,2.972,2.87,3.086,2.914,2.91,3.11,3.002
noisy spymaster:cn_nb:0.75,3.702,3.76,3.806,3.956,3.982,3.798,3.57,3.598,3.73,3.822,3.028,3.72,3.79,3.856,3.912,3.964,3.906,3.962,4.078,4.174,3.652,3.656,3.766,3.712,3.794,3.644,3.72,3.884,3.836,3.962,3.754,3.692,3.654,3.702,3.914,3.684,3.642,3.65,3.568,3.714,3.618,4.01,3.77,3.176,3.472,3.412,2.974,3.238,3.06,3.022,3.136,2.942,3.024,3.196,3.06
noisy spymaster:cn_nb:1.0,3.744,3.77,3.822,3.946,4.016,3.8,3.658,3.634,3.724,3.804,3.15,3.744,3.788,3.846,3.918,3.97,3.926,3.976,4.092,4.142,3.67,3.698,3.81,3.84,3.856,3.632,3.716,3.914,3.824,3.966,3.744,3.752,3.648,3.74,3.944,3.752,3.638,3.656,3.558,3.656,3.684,4.036,3.758,3.16,3.484,3.568,3.03,3.31,3.082,3.076,3.176,3.004,3.034,3.144,3.084
noisy spymaster:d2v:0.0,3.266,3.376,3.538,3.65,3.668,2.894,2.842,2.95,3.066,3.268,2.23,3.48,3.708,3.862,3.898,1.42,2.252,2.81,3.092,3.324,2.902,2.888,3.038,3.306,3.386,3.006,3.37,3.348,3.586,3.61,2.832,2.952,3.086,3.268,3.304,3.144,3.202,3.26,3.166,3.228,1.372,2.584,2.16,1.454,2.524,2.1,1.482,2.448,2.062,1.238,2.476,2.018,0.992,2.394,1.888
noisy spymaster:d2v:0.25,3.266,3.404,3.362,3.574,3.704,2.894,3.018,2.938,3.21,3.438,2.23,3.366,3.764,3.774,3.868,1.42,2.218,2.754,3.186,3.446,2.902,2.934,2.992,3.274,3.328,3.006,3.222,3.464,3.728,3.774,2.832,2.98,3.0,3.18,3.284,3.144,3.24,3.254,3.404,3.324,1.372,2.584,2.16,1.454,2.524,2.1,1.482,2.448,2.062,1.238,2.476,2.018,0.992,2.394,1.888
noisy spymaster:d2v:0.5,3.268,3.408,3.364,3.576,3.702,2.898,3.004,2.94,3.216,3.432,2.248,3.358,3.764,3.776,3.868,1.422,2.222,2.754,3.19,3.446,2.91,2.948,2.99,3.28,3.334,3.008,3.224,3.464,3.728,3.774,2.842,2.974,3.006,3.176,3.278,3.162,3.238,3.248,3.414,3.318,1.378,2.592,2.166,1.452,2.536,2.108,1.48,2.45,2.066,1.24,2.476,2.024,0.996,2.394,1.902
noisy spymaster:d2v:0.75,3.266,3.376,3.406,3.558,3.698,2.922,3.04,3.054,3.154,3.362,2.35,3.394,3.73,3.766,3.88,1.508,2.32,2.814,3.268,3.504,2.978,2.986,3.07,3.278,3.37,3.044,3.232,3.454,3.706,3.814,2.892,3.002,2.978,3.188,3.33,3.13,3.218,3.216,3.388,3.402,1.494,2.666,2.234,1.668,2.654,2.256,1.804,2.61,2.302,1.532,2.58,2.222,1.256,2.584,2.0
noisy spymaster:d2v:1.0,3.372,3.404,3.402,3.638,3.662,3.044,3.168,3.192,3.302,3.41,2.562,3.458,3.816,3.782,3.848,1.84,2.618,3.136,3.514,3.752,3.106,3.14,3.272,3.318,3.398,3.194,3.31,3.548,3.76,3.844,3.024,3.134,3.142,3.326,3.338,3.212,3.382,3.434,3.39,3.432,1.892,2.98,2.546,2.532,3.024,2.836,2.596,3.08,2.888,2.316,2.976,2.762,2.084,2.678,2.442
noisy spymaster:glove 100:0.0,3.314,3.378,3.502,3.696,3.782,1.702,1.922,2.282,2.686,3.008,2.356,3.632,3.902,3.968,4.044,3.688,3.846,3.804,3.814,3.85,0.0,0.908,1.548,2.156,2.728,3.18,3.332,3.68,3.758,3.722,1.872,2.114,2.3,2.63,2.97,3.186,3.228,3.2,3.164,3.192,3.092,3.782,3.402,2.956,3.536,3.252,3.042,3.352,3.198,2.894,3.442,3.186,2.952,3.432,3.248
noisy spymaster:glove 100:0.25,3.314,3.51,3.448,3.584,3.69,1.702,1.964,2.324,2.738,2.982,2.356,3.572,3.744,3.802,3.852,3.688,3.726,3.714,3.674,3.674,0.0,0.866,1.55,2.126,2.61,3.18,3.526,3.828,3.908,3.924,1.872,2.084,2.354,2.636,2.84,3.186,3.208,3.18,3.164,3.222,3.092,3.782,3.402,2.956,3.536,3.252,3.042,3.352,3.198,2.894,3.442,3.186,2.952,3.432,3.248
