,noisy guesser:w2v:0.0,noisy guesser:w2v:0.25,noisy guesser:w2v:0.5,noisy guesser:w2v:0.75,noisy guesser:w2v:1.0,noisy guesser:glove 300:0.0,noisy guesser:glove 300:0.25,noisy guesser:glove 300:0.5,noisy guesser:glove 300:0.75,noisy guesser:glove 300:1.0,noisy guesser:cn_nb:0.0,noisy guesser:cn_nb:0.25,noisy guesser:cn_nb:0.5,noisy guesser:cn_nb:0.75,noisy guesser:cn_nb:1.0,noisy guesser:d2v:0.0,noisy guesser:d2v:0.25,noisy guesser:d2v:0.5,noisy guesser:d2v:0.75,noisy guesser:d2v:1.0,noisy guesser:glove 100:0.0,noisy guesser:glove 100:0.25,noisy guesser:glove 100:0.5,noisy guesser:glove 100:0.75,noisy guesser:glove 100:1.0,noisy guesser:fast-text:0.0,noisy guesser:fast-text:0.25,noisy guesser:fast-text:0.5,noisy guesser:fast-text:0.75,noisy guesser:fast-text:1.0,noisy guesser:w2v_glove_300:0.0,noisy guesser:w2v_glove_300:0.25,noisy guesser:w2v_glove_300:0.5,noisy guesser:w2v_glove_300:0.75,noisy guesser:w2v_glove_300:1.0,noisy guesser:elmo:0.0,noisy guesser:elmo:0.25,noisy guesser:elmo:0.5,noisy guesser:elmo:0.75,noisy guesser:elmo:1.0,bayesian guesser:0.0:0:1,bayesian guesser:0.0:1:0,bayesian guesser:0.0:0.5:0.5,bayesian guesser:0.25:0:1,bayesian guesser:0.25:1:0,bayesian guesser:0.25:0.5:0.5,bayesian guesser:0.5:0:1,bayesian guesser:0.5:1:0,bayesian guesser:0.5:0.5:0.5,bayesian guesser:0.75:0:1,bayesian guesser:0.75:1:0,bayesian guesser:0.75:0.5:0.5,bayesian guesser:1.0:0:1,bayesian guesser:1.0:1:0,bayesian guesser:1.0:0.5:0.5
noisy spymaster:cn_nb:0.0,0.506,0.54,0.598,0.644,0.668,0.42,0.432,0.492,0.548,0.602,0.0,0.564,0.67,0.722,0.76,0.702,0.702,0.706,0.738,0.742,0.462,0.472,0.506,0.526,0.546,0.476,0.572,0.658,0.706,0.748,0.434,0.432,0.468,0.5,0.57,0.55,0.534,0.54,0.568,0.58,0.33,0.504,0.476,0.176,0.316,0.242,0.178,0.34,0.23,0.188,0.352,0.252,0.246,0.362,0.282
noisy spymaster:cn_nb:0.25,0.56,0.596,0.632,0.704,0.696,0.516,0.534,0.574,0.596,0.626,0.062,0.644,0.76,0.798,0.814,0.732,0.748,0.73,0.752,0.756,0.482,0.54,0.558,0.582,0.648,0.548,0.628,0.69,0.736,0.762,0.498,0.488,0.532,0.56,0.584,0.608,0.6,0.604,0.614,0.636,0.42,0.578,0.52,0.286,0.416,0.324,0.248,0.38,0.274,0.24,0.396,0.318,0.27,0.404,0.344
noisy spymaster:cn_nb:0.5,0.7,0.71,0.748,0.758,0.772,0.672,0.69,0.698,0.722,0.7,0.362,0.762,0.844,0.828,0.846,0.796,0.796,0.788,0.808,0.788,0.684,0.668,0.71,0.714,0.736,0.722,0.766,0.808,0.79,0.808,0.638,0.672,0.662,0.71,0.708,0.7,0.708,0.704,0.712,0.74,0.65,0.764,0.704,0.538,0.578,0.572,0.494,0.466,0.486,0.474,0.514,0.498,0.52,0.528,0.486
noisy spymaster:cn_nb:0.75,0.75,0.772,0.774,0.804,0.79,0.694,0.714,0.726,0.746,0.76,0.476,0.784,0.842,0.842,0.848,0.806,0.802,0.81,0.794,0.794,0.712,0.704,0.742,0.762,0.754,0.756,0.78,0.806,0.81,0.816,0.652,0.716,0.686,0.738,0.736,0.724,0.738,0.712,0.732,0.752,0.746,0.804,0.77,0.59,0.624,0.594,0.534,0.506,0.502,0.566,0.546,0.55,0.564,0.56,0.56
noisy spymaster:cn_nb:1.0,0.748,0.762,0.774,0.812,0.794,0.698,0.71,0.724,0.758,0.762,0.516,0.796,0.844,0.846,0.842,0.806,0.802,0.81,0.796,0.786,0.712,0.702,0.758,0.766,0.74,0.76,0.774,0.806,0.806,0.8,0.678,0.72,0.712,0.73,0.752,0.716,0.74,0.726,0.748,0.754,0.746,0.812,0.782,0.616,0.646,0.6,0.55,0.502,0.514,0.554,0.55,0.568,0.574,0.586,0.55
noisy spymaster:d2v:0.0,0.608,0.646,0.672,0.684,0.72,0.528,0.504,0.496,0.562,0.592,0.372,0.64,0.736,0.782,0.8,0.27,0.37,0.464,0.546,0.604,0.496,0.528,0.52,0.554,0.612,0.544,0.616,0.7,0.744,0.746,0.478,0.514,0.532,0.558,0.584,0.608,0.592,0.604,0.628,0.628,0.214,0.37,0.322,0.214,0.332,0.28,0.224,0.334,0.268,0.18,0.372,0.27,0.148,0.346,0.264
noisy spymaster:d2v:0.25,0.608,0.644,0.65,0.7,0.722,0.528,0.51,0.548,0.568,0.626,0.372,0.684,0.768,0.806,0.806,0.27,0.392,0.462,0.528,0.58,0.496,0.5,0.526,0.568,0.636,0.544,0.62,0.692,0.722,0.748,0.478,0.506,0.554,0.57,0.63,0.608,0.588,0.6,0.612,0.62,0.214,0.37,0.322,0.214,0.332,0.28,0.224,0.334,0.268,0.18,0.372,0.27,0.148,0.346,0.264
noisy spymaster:d2v:0.5,0.608,0.642,0.648,0.702,0.724,0.526,0.508,0.55,0.568,0.624,0.372,0.686,0.77,0.806,0.806,0.272,0.392,0.462,0.528,0.582,0.498,0.5,0.528,0.568,0.63,0.544,0.62,0.69,0.722,0.75,0.474,0.504,0.554,0.564,0.634,0.606,0.586,0.6,0.61,0.622,0.214,0.374,0.326,0.216,0.336,0.282,0.226,0.336,0.268,0.18,0.374,0.27,0.148,0.346,0.264
noisy spymaster:d2v:0.75,0.616,0.646,0.648,0.714,0.728,0.514,0.536,0.532,0.582,0.606,0.388,0.69,0.778,0.81,0.814,0.29,0.396,0.47,0.542,0.584,0.51,0.52,0.526,0.586,0.644,0.568,0.64,0.7,0.728,0.75,0.488,0.526,0.568,0.586,0.626,0.604,0.604,0.62,0.652,0.642,0.234,0.394,0.358,0.262,0.394,0.322,0.296,0.374,0.344,0.244,0.404,0.324,0.206,0.358,0.324
noisy spymaster:d2v:1.0,0.672,0.668,0.7,0.73,0.748,0.566,0.542,0.576,0.608,0.632,0.47,0.702,0.79,0.82,0.832,0.338,0.458,0.512,0.578,0.632,0.56,0.558,0.576,0.634,0.658,0.626,0.692,0.72,0.764,0.762,0.56,0.562,0.6,0.608,0.674,0.654,0.644,0.642,0.676,0.702,0.324,0.442,0.396,0.426,0.534,0.474,0.454,0.53,0.498,0.424,0.534,0.462,0.352,0.498,0.418
noisy spymaster:glove 100:0.0,0.574,0.632,0.668,0.686,0.738,0.248,0.308,0.388,0.472,0.536,0.384,0.672,0.76,0.786,0.798,0.724,0.718,0.74,0.736,0.75,0.0,0.108,0.204,0.292,0.378,0.628,0.682,0.752,0.754,0.796,0.282,0.32,0.39,0.444,0.476,0.548,0.566,0.586,0.614,0.634,0.548,0.726,0.668,0.542,0.66,0.598,0.548,0.652,0.592,0.548,0.662,0.6,0.562,0.64,0.622
noisy spymaster:glove 100:0.25,0.574,0.644,0.682,0.72,0.758,0.248,0.254,0.338,0.44,0.506,0.384,0.718,0.79,0.802,0.818,0.724,0.728,0.736,0.75,0.768,0.0,0.094,0.202,0.322,0.382,0.628,0.704,0.736,0.73,0.796,0.282,0.294,0.378,0.448,0.464,0.548,0.564,0.576,0.582,0.588,0.548,0.726,0.668,0.542,0.66,0.598,0.548,0.652,0.592,0.548,0.662,0.6,0.562,0.64,0.622
noisy spymaster:glove 100:0.5,0.568,0.646,0.682,0.722,0.758,0.25,0.256,0.34,0.44,0.506,0.388,0.72,0.792,0.802,0.818,0.724,0.728,0.74,0.75,0.77,0.0,0.092,0.2,0.32,0.382,0.628,0.702,0.736,0.732,0.796,0.288,0.294,0.376,0.452,0.462,0.55,0.566,0.574,0.582,0.588,0.55,0.726,0.668,0.544,0.658,0.598,0.544,0.656,0.596,0.544,0.664,0.606,0.564,0.636,0.622
noisy spymaster:glove 100:0.75,0.582,0.642,0.682,0.718,0.746,0.26,0.25,0.358,0.454,0.516,0.388,0.71,0.782,0.802,0.818,0.734,0.726,0.758,0.75,0.764,0.004,0.11,0.214,0.322,0.384,0.63,0.692,0.74,0.744,0.798,0.278,0.308,0.39,0.462,0.488,0.552,0.574,0.574,0.6,0.602,0.554,0.734,0.668,0.53,0.656,0.612,0.57,0.64,0.606,0.546,0.674,0.596,0.57,0.636,0.608
noisy spymaster:glove 100:1.0,0.608,0.648,0.69,0.732,0.76,0.288,0.3,0.416,0.504,0.544,0.404,0.718,0.798,0.806,0.834,0.744,0.752,0.742,0.758,0.774,0.052,0.18,0.258,0.358,0.442,0.648,0.684,0.756,0.752,0.796,0.342,0.374,0.422,0.508,0.562,0.602,0.584,0.608,0.638,0.624,0.602,0.708,0.68,0.592,0.682,0.628,0.586,0.672,0.592,0.586,0.688,0.608,0.604,0.656,0.592
noisy spymaster:fast-text:0.0,0.424,0.466,0.528,0.638,0.67,0.386,0.39,0.458,0.522,0.564,0.212,0.582,0.712,0.754,0.772,0.694,0.704,0.688,0.712,0.74,0.408,0.4,0.424,0.468,0.53,0.002,0.39,0.58,0.688,0.742,0.33,0.326,0.368,0.408,0.48,0.476,0.456,0.502,0.528,0.534,0.404,0.634,0.544,0.406,0.56,0.468,0.394,0.524,0.404,0.42,0.562,0.464,0.422,0.58,0.442
noisy spymaster:fast-text:0.25,0.428,0.438,0.56,0.61,0.666,0.386,0.38,0.444,0.488,0.528,0.212,0.596,0.748,0.792,0.828,0.698,0.696,0.718,0.718,0.742,0.404,0.422,0.45,0.494,0.562,0.002,0.378,0.544,0.64,0.728,0.332,0.352,0.388,0.424,0.524,0.476,0.476,0.492,0.524,0.528,0.406,0.63,0.546,0.41,0.558,0.462,0.392,0.518,0.408,0.416,0.56,0.466,0.424,0.574,0.446
noisy spymaster:fast-text:0.5,0.55,0.546,0.646,0.668,0.734,0.486,0.496,0.52,0.572,0.608,0.342,0.712,0.794,0.804,0.824,0.728,0.742,0.78,0.756,0.764,0.464,0.52,0.564,0.57,0.592,0.166,0.492,0.688,0.726,0.756,0.46,0.478,0.516,0.534,0.58,0.584,0.564,0.564,0.584,0.624,0.514,0.696,0.626,0.478,0.62,0.546,0.49,0.62,0.544,0.458,0.632,0.536,0.48,0.618,0.502
noisy spymaster:fast-text:0.75,0.656,0.686,0.726,0.716,0.736,0.574,0.624,0.634,0.654,0.692,0.468,0.762,0.798,0.81,0.826,0.796,0.774,0.796,0.806,0.788,0.594,0.572,0.644,0.652,0.694,0.43,0.676,0.764,0.78,0.79,0.574,0.564,0.61,0.656,0.672,0.67,0.67,0.654,0.666,0.714,0.626,0.778,0.76,0.618,0.724,0.646,0.598,0.682,0.648,0.628,0.688,0.64,0.614,0.71,0.614
noisy spymaster:fast-text:1.0,0.71,0.74,0.756,0.732,0.752,0.644,0.666,0.692,0.724,0.752,0.53,0.798,0.81,0.822,0.832,0.798,0.778,0.804,0.816,0.802,0.642,0.634,0.68,0.664,0.706,0.586,0.738,0.774,0.796,0.808,0.648,0.632,0.654,0.722,0.724,0.724,0.69,0.716,0.724,0.736,0.684,0.78,0.776,0.664,0.726,0.716,0.68,0.714,0.71,0.68,0.728,0.684,0.68,0.716,0.672
