,noisy guesser:w2v:0.0,noisy guesser:w2v:0.25,noisy guesser:w2v:0.5,noisy guesser:w2v:0.75,noisy guesser:w2v:1.0,noisy guesser:glove 300:0.0,noisy guesser:glove 300:0.25,noisy guesser:glove 300:0.5,noisy guesser:glove 300:0.75,noisy guesser:glove 300:1.0,noisy guesser:cn_nb:0.0,noisy guesser:cn_nb:0.25,noisy guesser:cn_nb:0.5,noisy guesser:cn_nb:0.75,noisy guesser:cn_nb:1.0,noisy guesser:d2v:0.0,noisy guesser:d2v:0.25,noisy guesser:d2v:0.5,noisy guesser:d2v:0.75,noisy guesser:d2v:1.0,noisy guesser:glove 100:0.0,noisy guesser:glove 100:0.25,noisy guesser:glove 100:0.5,noisy guesser:glove 100:0.75,noisy guesser:glove 100:1.0,noisy guesser:fast-text:0.0,noisy guesser:fast-text:0.25,noisy guesser:fast-text:0.5,noisy guesser:fast-text:0.75,noisy guesser:fast-text:1.0,noisy guesser:w2v_glove_300:0.0,noisy guesser:w2v_glove_300:0.25,noisy guesser:w2v_glove_300:0.5,noisy guesser:w2v_glove_300:0.75,noisy guesser:w2v_glove_300:1.0,noisy guesser:elmo:0.0,noisy guesser:elmo:0.25,noisy guesser:elmo:0.5,noisy guesser:elmo:0.75,noisy guesser:elmo:1.0,bayesian guesser:0.0:0:1,bayesian guesser:0.0:1:0,bayesian guesser:0.0:0.5:0.5,bayesian guesser:0.25:0:1,bayesian guesser:0.25:1:0,bayesian guesser:0.25:0.5:0.5,bayesian guesser:0.5:0:1,bayesian guesser:0.5:1:0,bayesian guesser:0.5:0.5:0.5,bayesian guesser:0.75:0:1,bayesian guesser:0.75:1:0,bayesian guesser:0.75:0.5:0.5,bayesian guesser:1.0:0:1,bayesian guesser:1.0:1:0,bayesian guesser:1.0:0.5:0.5
noisy spymaster:glove 100:0.5,6.36,6.174,5.668,5.498,5.294,7.87,7.844,7.516,7.038,6.642,7.242,5.406,4.802,4.654,4.578,5.584,5.5,5.344,5.178,5.068,9.0,8.68,8.178,7.608,7.26,6.112,5.756,5.454,5.34,5.058,7.686,7.644,7.416,7.022,6.794,6.534,6.546,6.436,6.238,6.224,6.55,5.54,5.716,6.658,6.002,6.258,6.722,5.87,6.358,6.636,5.956,6.264,6.556,6.032,6.298
noisy spymaster:glove 100:0.75,6.326,6.182,5.702,5.506,5.308,7.846,7.874,7.46,6.976,6.622,7.258,5.412,4.806,4.666,4.58,5.596,5.502,5.322,5.138,5.02,8.986,8.606,8.124,7.616,7.26,6.076,5.698,5.434,5.32,5.038,7.732,7.618,7.352,6.954,6.708,6.526,6.496,6.406,6.224,6.2,6.512,5.498,5.688,6.694,6.054,6.148,6.622,5.96,6.34,6.634,5.93,6.276,6.564,6.028,6.354
noisy spymaster:glove 100:1.0,6.148,5.982,5.67,5.418,5.244,7.712,7.58,7.158,6.744,6.446,7.156,5.384,4.75,4.608,4.518,5.44,5.366,5.264,5.112,5.002,8.752,8.306,7.982,7.488,7.03,5.99,5.67,5.388,5.228,5.042,7.47,7.356,7.106,6.692,6.394,6.364,6.34,6.26,6.166,6.118,6.284,5.472,5.55,6.376,5.84,6.064,6.442,5.854,6.264,6.442,5.792,6.084,6.372,5.91,6.37
noisy spymaster:fast-text:0.0,7.182,6.96,6.496,6.064,5.794,7.206,7.096,6.782,6.544,6.29,8.064,5.998,5.3,5.084,4.954,5.768,5.686,5.59,5.376,5.192,7.228,7.31,7.142,6.764,6.424,8.998,7.21,6.278,5.506,5.162,7.394,7.448,7.228,7.098,6.806,6.896,6.976,6.85,6.66,6.588,7.284,5.89,6.194,7.384,6.524,6.888,7.468,6.566,7.24,7.358,6.334,6.94,7.26,6.318,7.004
noisy spymaster:fast-text:0.25,7.17,6.952,6.362,6.09,5.802,7.21,7.224,6.986,6.72,6.442,8.052,6.016,5.102,4.808,4.66,5.758,5.682,5.588,5.524,5.434,7.236,7.228,7.034,6.856,6.524,8.998,7.234,6.274,5.724,5.288,7.394,7.35,7.198,6.936,6.554,6.874,6.914,6.84,6.7,6.598,7.286,5.896,6.172,7.376,6.518,6.91,7.466,6.604,7.216,7.362,6.352,6.95,7.258,6.312,7.002
noisy spymaster:fast-text:0.5,6.698,6.384,5.904,5.774,5.436,6.786,6.806,6.598,6.378,6.174,7.512,5.538,4.882,4.728,4.582,5.576,5.492,5.3,5.286,5.196,6.924,6.688,6.534,6.442,6.246,8.328,6.862,5.786,5.416,5.12,6.882,6.934,6.814,6.528,6.212,6.354,6.598,6.522,6.328,6.134,6.814,5.618,5.706,6.872,6.104,6.458,6.844,6.146,6.488,6.956,6.098,6.554,6.822,6.192,6.626
noisy spymaster:fast-text:0.75,6.03,5.742,5.382,5.36,5.324,6.226,6.22,6.06,5.956,5.684,7.064,5.178,4.78,4.564,4.482,5.102,5.074,5.044,4.976,4.964,6.282,6.324,6.084,5.904,5.808,7.29,5.904,5.336,5.042,4.852,6.27,6.354,6.226,5.97,5.636,5.846,6.028,6.018,5.94,5.672,6.076,5.174,5.066,6.24,5.636,5.734,6.172,5.86,5.94,6.134,5.93,6.006,6.17,5.764,6.102
noisy spymaster:fast-text:1.0,5.628,5.438,5.186,5.182,5.188,5.806,5.908,5.74,5.558,5.31,6.73,4.938,4.628,4.496,4.432,5.022,5.042,4.854,4.832,4.846,5.962,6.044,5.842,5.846,5.656,6.516,5.552,5.198,5.004,4.822,5.91,6.03,5.926,5.622,5.392,5.64,5.842,5.734,5.65,5.302,5.778,5.044,4.852,5.88,5.458,5.476,5.76,5.678,5.546,5.774,5.632,5.786,5.828,5.546,5.836
noisy spymaster:w2v_glove_50:0.0,6.734,6.572,6.038,5.68,5.408,7.68,7.512,7.146,6.712,6.372,7.364,5.618,5.15,4.8,4.736,5.402,5.414,5.426,5.43,5.374,8.288,8.192,7.79,7.364,7.094,6.286,5.662,5.312,4.998,4.856,7.686,7.654,7.23,6.98,6.688,6.464,6.44,6.466,6.392,6.316,6.856,5.5,5.764,6.898,6.064,6.5,6.8,6.2,6.42,6.918,6.226,6.5,6.992,6.198,6.394
noisy spymaster:w2v_glove_50:0.25,6.734,6.496,6.058,5.726,5.606,7.68,7.638,7.208,6.834,6.344,7.364,5.678,5.124,4.884,4.808,5.402,5.424,5.422,5.276,5.212,8.288,8.156,7.768,7.27,6.978,6.286,5.598,5.046,4.752,4.498,7.686,7.624,7.252,7.094,6.766,6.464,6.438,6.432,6.354,6.268,6.856,5.5,5.764,6.898,6.064,6.5,6.8,6.2,6.42,6.918,6.226,6.5,6.992,6.198,6.394
noisy spymaster:w2v_glove_50:0.5,6.734,6.496,6.058,5.726,5.606,7.688,7.638,7.218,6.836,6.34,7.372,5.678,5.124,4.884,4.808,5.4,5.42,5.422,5.276,5.212,8.288,8.156,7.768,7.276,6.978,6.28,5.596,5.026,4.752,4.492,7.684,7.63,7.252,7.094,6.766,6.464,6.438,6.424,6.346,6.266,6.856,5.5,5.764,6.898,6.064,6.492,6.8,6.2,6.418,6.914,6.226,6.5,6.988,6.198,6.394
noisy spymaster:w2v_glove_50:0.75,6.708,6.502,6.072,5.702,5.602,7.682,7.62,7.214,6.83,6.328,7.318,5.66,5.124,4.892,4.814,5.396,5.412,5.41,5.248,5.212,8.266,8.168,7.792,7.278,6.96,6.264,5.61,5.02,4.75,4.522,7.686,7.584,7.194,7.082,6.774,6.418,6.444,6.502,6.38,6.268,6.838,5.486,5.714,6.814,6.154,6.45,6.81,6.2,6.572,6.918,6.196,6.512,6.958,6.102,6.436
noisy spymaster:w2v_glove_50:1.0,6.526,6.308,5.824,5.652,5.534,7.624,7.378,7.116,6.62,6.296,7.116,5.492,5.018,4.86,4.754,5.382,5.394,5.246,5.244,5.126,8.068,8.002,7.558,7.132,6.762,6.152,5.6,5.06,4.682,4.516,7.572,7.416,7.12,6.91,6.71,6.35,6.344,6.33,6.222,6.168,6.688,5.47,5.648,6.672,6.052,6.434,6.746,6.174,6.492,6.784,6.23,6.366,6.644,6.148,6.318
noisy spymaster:elmo:0.0,6.46,6.268,5.954,5.614,5.546,6.598,6.52,6.272,6.048,5.698,7.114,5.474,5.064,4.854,4.704,5.458,5.32,5.202,5.16,5.124,6.61,6.588,6.49,6.388,6.076,6.272,5.842,5.156,5.034,4.966,6.658,6.658,6.47,6.384,6.078,8.97,8.68,8.344,7.906,7.604,6.474,5.152,5.494,6.518,5.99,6.36,6.652,6.064,6.23,6.608,5.97,6.462,6.52,5.834,6.268
noisy spymaster:elmo:0.25,6.46,6.05,5.852,5.648,5.448,6.598,6.466,6.404,6.148,5.964,7.114,5.51,5.046,4.886,4.768,5.458,5.408,5.348,5.32,5.242,6.61,6.648,6.418,6.182,6.024,6.272,5.878,5.306,5.054,4.852,6.658,6.642,6.484,6.168,5.908,8.97,8.624,8.222,7.974,7.778,6.474,5.152,5.494,6.518,5.99,6.36,6.652,6.064,6.23,6.608,5.97,6.462,6.52,5.834,6.268
noisy spymaster:elmo:0.5,6.46,6.05,5.852,5.648,5.448,6.598,6.466,6.404,6.148,5.964,7.114,5.51,5.046,4.886,4.768,5.458,5.408,5.348,5.32,5.242,6.61,6.648,6.418,6.182,6.024,6.272,5.878,5.306,5.054,4.852,6.658,6.642,6.484,6.168,5.908,8.97,8.624,8.222,7.974,7.778,6.474,5.152,5.494,6.518,5.99,6.36,6.652,6.064,6.23,6.608,5.97,6.462,6.52,5.834,6.268
noisy spymaster:elmo:0.75,6.46,6.05,5.852,5.648,5.448,6.598,6.466,6.404,6.148,5.964,7.114,5.51,5.046,4.886,4.768,5.458,5.408,5.348,5.32,5.244,6.61,6.648,6.418,6.182,6.024,6.272,5.878,5.306,5.054,4.852,6.658,6.642,6.484,6.168,5.908,8.97,8.624,8.222,7.974,7.778,6.474,5.152,5.494,6.518,5.99,6.36,6.652,6.064,6.23,6.608,5.97,6.462,6.52,5.834,6.268
noisy spymaster:elmo:1.0,6.458,6.052,5.854,5.646,5.448,6.614,6.476,6.404,6.148,5.964,7.116,5.512,5.044,4.884,4.766,5.456,5.414,5.346,5.318,5.242,6.61,6.658,6.424,6.186,6.024,6.272,5.88,5.306,5.054,4.852,6.674,6.65,6.49,6.176,5.916,8.97,8.638,8.218,7.97,7.774,6.474,5.152,5.494,6.53,5.994,6.36,6.638,6.066,6.232,6.6,5.976,6.472,6.512,5.836,6.278
