,noisy guesser:w2v:0.0,noisy guesser:w2v:0.25,noisy guesser:w2v:0.5,noisy guesser:w2v:0.75,noisy guesser:w2v:1.0,noisy guesser:glove 300:0.0,noisy guesser:glove 300:0.25,noisy guesser:glove 300:0.5,noisy guesser:glove 300:0.75,noisy guesser:glove 300:1.0,noisy guesser:cn_nb:0.0,noisy guesser:cn_nb:0.25,noisy guesser:cn_nb:0.5,noisy guesser:cn_nb:0.75,noisy guesser:cn_nb:1.0,noisy guesser:d2v:0.0,noisy guesser:d2v:0.25,noisy guesser:d2v:0.5,noisy guesser:d2v:0.75,noisy guesser:d2v:1.0,noisy guesser:glove 100:0.0,noisy guesser:glove 100:0.25,noisy guesser:glove 100:0.5,noisy guesser:glove 100:0.75,noisy guesser:glove 100:1.0,noisy guesser:fast-text:0.0,noisy guesser:fast-text:0.25,noisy guesser:fast-text:0.5,noisy guesser:fast-text:0.75,noisy guesser:fast-text:1.0,noisy guesser:w2v_glove_300:0.0,noisy guesser:w2v_glove_300:0.25,noisy guesser:w2v_glove_300:0.5,noisy guesser:w2v_glove_300:0.75,noisy guesser:w2v_glove_300:1.0,noisy guesser:elmo:0.0,noisy guesser:elmo:0.25,noisy guesser:elmo:0.5,noisy guesser:elmo:0.75,noisy guesser:elmo:1.0,bayesian guesser:0.0:0:1,bayesian guesser:0.0:1:0,bayesian guesser:0.0:0.5:0.5,bayesian guesser:0.25:0:1,bayesian guesser:0.25:1:0,bayesian guesser:0.25:0.5:0.5,bayesian guesser:0.5:0:1,bayesian guesser:0.5:1:0,bayesian guesser:0.5:0.5:0.5,bayesian guesser:0.75:0:1,bayesian guesser:0.75:1:0,bayesian guesser:0.75:0.5:0.5,bayesian guesser:1.0:0:1,bayesian guesser:1.0:1:0,bayesian guesser:1.0:0.5:0.5
noisy spymaster:glove 100:0.75,18.828,19.904,20.886,21.496,22.13,10.76,10.93,13.422,15.794,17.16,14.136,21.44,23.102,23.332,23.608,21.818,21.846,22.272,22.192,22.54,3.6,6.644,9.666,12.532,14.342,19.628,21.178,21.966,22.264,23.14,11.33,12.1,14.12,15.784,16.664,18.316,18.508,18.738,19.154,19.496,18.626,21.56,22.098,18.376,20.096,20.286,18.916,19.794,19.956,18.502,20.298,19.788,18.718,19.97,19.86
noisy spymaster:glove 100:1.0,19.48,20.104,21.092,21.808,22.418,11.684,12.218,14.822,17.04,17.99,14.72,21.738,23.338,23.522,23.83,22.158,22.282,22.148,22.38,22.768,5.026,8.554,11.066,13.614,15.664,20.082,21.2,22.45,22.6,23.298,12.808,13.658,14.85,16.876,18.062,19.088,18.914,19.34,19.748,19.846,19.574,21.338,22.4,19.376,20.662,20.674,19.374,20.432,20.124,19.338,20.814,20.272,19.584,20.214,20.08
noisy spymaster:fast-text:0.0,15.4,16.502,18.054,20.334,21.15,14.542,14.764,16.084,17.422,18.5,10.302,19.336,21.772,22.672,23.064,21.314,21.582,21.54,22.196,22.414,15.316,15.05,15.878,16.838,18.176,4.674,14.69,19.192,21.41,22.422,13.396,13.442,14.514,15.544,17.162,16.906,16.564,17.472,18.152,18.244,15.892,19.824,20.522,15.778,18.474,17.688,15.572,17.752,16.572,16.002,18.338,17.298,16.072,18.706,17.004
noisy spymaster:fast-text:0.25,15.466,15.908,18.6,19.866,21.028,14.54,14.56,15.772,16.974,18.056,10.284,19.78,22.512,23.474,23.822,21.342,21.448,21.86,21.908,22.328,15.272,15.57,16.244,17.394,18.468,4.69,14.592,18.84,20.784,22.206,13.422,13.902,14.822,15.836,17.692,16.96,17.004,17.166,17.776,18.068,15.908,19.794,20.55,15.864,18.452,17.592,15.544,17.648,16.636,15.94,18.304,17.358,16.098,18.65,17.072
noisy spymaster:fast-text:0.5,18.154,18.392,20.222,20.97,22.278,16.974,17.106,17.782,18.784,19.496,13.742,21.668,23.37,23.59,23.89,22.086,22.234,22.79,22.822,22.976,16.954,17.916,18.578,19.076,19.462,9.062,17.316,21.196,22.102,22.756,16.372,16.846,17.68,18.172,19.306,19.176,18.714,18.768,19.266,20.01,18.316,20.864,21.886,17.7,19.764,19.532,17.93,19.68,19.506,17.444,19.652,19.236,17.902,19.604,18.814
noisy spymaster:fast-text:0.75,20.442,21.01,21.86,22.026,22.428,19.284,19.826,20.31,20.618,21.332,16.906,22.52,23.544,23.862,24.054,23.244,23.074,23.29,23.582,23.472,19.458,19.306,20.202,20.658,21.434,15.758,20.872,22.41,23.052,23.132,18.986,18.94,20.006,20.678,21.252,20.83,20.9,20.69,20.962,21.6,20.374,22.532,23.43,20.658,21.67,21.406,20.4,20.788,21.412,20.764,20.92,21.28,20.408,21.268,20.962
noisy spymaster:fast-text:1.0,21.492,21.984,22.35,22.344,22.728,20.626,20.902,21.494,21.758,22.35,18.296,23.264,23.8,23.938,24.054,23.392,23.212,23.492,23.858,23.712,20.562,20.45,21.134,21.18,21.658,19.036,22.052,22.778,23.328,23.472,20.34,20.382,20.812,21.768,22.208,21.898,21.438,21.618,21.866,22.172,21.25,22.772,23.782,21.582,21.914,22.374,21.666,21.524,22.366,21.712,21.91,22.052,21.326,21.786,21.914
noisy spymaster:w2v_glove_50:0.0,16.934,17.736,19.62,20.914,21.6,11.78,12.522,14.416,16.428,17.948,13.808,20.524,22.518,23.19,23.53,22.086,22.174,21.926,22.362,22.322,8.75,9.26,11.666,13.908,15.602,18.46,20.542,22.004,22.798,22.854,11.642,12.024,14.044,15.082,16.746,18.486,18.388,18.776,19.234,19.054,17.214,20.59,21.582,17.5,19.418,18.946,17.57,19.032,18.964,17.602,19.174,18.608,17.094,19.378,19.11
noisy spymaster:w2v_glove_50:0.25,16.934,18.09,19.652,20.676,21.41,11.78,12.31,14.248,16.112,17.906,13.808,20.572,22.322,22.96,23.272,22.086,22.138,22.164,22.538,22.464,8.75,9.43,11.652,13.97,15.672,18.46,20.454,22.108,22.914,23.142,11.642,12.134,14.122,15.254,16.688,18.486,18.804,18.836,18.68,19.546,17.214,20.59,21.582,17.5,19.418,18.946,17.57,19.032,18.964,17.602,19.174,18.608,17.094,19.378,19.11
noisy spymaster:w2v_glove_50:0.5,16.936,18.09,19.652,20.676,21.402,11.75,12.31,14.218,16.112,17.906,13.786,20.572,22.322,22.96,23.272,22.086,22.118,22.186,22.538,22.464,8.75,9.434,11.656,13.94,15.668,18.5,20.476,22.168,22.914,23.142,11.672,12.094,14.122,15.254,16.688,18.456,18.804,18.836,18.676,19.546,17.216,20.596,21.584,17.492,19.418,18.984,17.57,19.032,18.964,17.628,19.168,18.612,17.126,19.38,19.126
noisy spymaster:w2v_glove_50:0.75,17.176,18.0,19.498,20.8,21.518,11.8,12.47,14.38,16.108,17.934,13.916,20.534,22.35,22.94,23.21,22.184,21.942,22.294,22.616,22.484,8.978,9.484,11.524,14.006,15.796,18.474,20.502,22.124,22.958,23.152,11.702,12.362,14.386,15.306,16.702,18.696,18.908,18.644,18.684,19.532,17.262,20.78,21.67,17.756,19.34,19.174,17.724,18.924,18.56,17.54,19.42,18.74,16.974,19.286,19.06
noisy spymaster:w2v_glove_50:1.0,17.806,18.758,20.29,20.898,21.44,12.396,13.506,14.932,16.738,18.144,14.902,21.024,22.612,23.002,23.208,22.424,22.28,22.728,22.706,22.71,9.978,10.622,12.71,14.706,16.812,18.962,20.912,22.432,23.086,23.334,12.52,13.316,14.906,16.522,17.52,18.56,18.996,19.252,19.34,19.508,17.842,20.932,21.87,18.546,19.45,19.214,17.732,19.114,18.936,17.94,19.258,19.104,18.306,19.01,19.472
noisy spymaster:elmo:0.0,18.328,18.798,20.018,21.66,21.938,17.19,17.488,18.406,19.418,20.362,15.26,21.012,22.59,23.128,23.712,22.102,22.424,22.314,22.582,22.582,17.328,17.35,18.002,18.656,19.458,19.064,20.812,22.148,22.628,22.784,16.876,17.232,17.654,18.446,19.278,5.06,7.25,9.628,11.622,13.334,18.936,22.158,22.234,18.474,19.95,19.328,18.47,19.62,19.222,18.35,19.596,19.16,18.544,20.01,19.632
noisy spymaster:elmo:0.25,18.328,19.332,20.05,21.234,21.85,17.19,17.578,18.238,19.306,19.854,15.26,21.054,22.462,23.154,23.488,22.102,22.424,22.494,22.526,22.626,17.328,17.404,18.16,18.916,19.568,19.064,20.298,21.858,22.43,22.868,16.876,16.982,17.814,19.158,19.76,5.06,7.044,9.548,11.484,12.75,18.936,22.158,22.234,18.474,19.95,19.328,18.47,19.62,19.222,18.35,19.596,19.16,18.544,20.01,19.632
noisy spymaster:elmo:0.5,18.328,19.332,20.05,21.234,21.85,17.19,17.578,18.238,19.306,19.854,15.26,21.054,22.462,23.154,23.488,22.102,22.424,22.494,22.526,22.626,17.328,17.404,18.16,18.916,19.568,19.064,20.298,21.858,22.43,22.868,16.876,16.982,17.814,19.158,19.76,5.06,7.044,9.548,11.484,12.75,18.936,22.158,22.234,18.474,19.95,19.328,18.47,19.62,19.222,18.35,19.596,19.16,18.544,20.01,19.632
noisy spymaster:elmo:0.75,18.328,19.332,20.05,21.234,21.85,17.19,17.578,18.238,19.306,19.854,15.26,21.054,22.462,23.154,23.488,22.102,22.424,22.494,22.526,22.626,17.328,17.404,18.16,18.916,19.568,19.064,20.298,21.858,22.43,22.868,16.876,16.982,17.814,19.158,19.76,5.06,7.044,9.548,11.484,12.75,18.936,22.158,22.234,18.474,19.95,19.328,18.47,19.62,19.222,18.35,19.596,19.16,18.544,20.01,19.632
noisy spymaster:elmo:1.0,18.344,19.332,20.05,21.234,21.85,17.19,17.578,18.238,19.306,19.854,15.26,21.054,22.462,23.154,23.488,22.102,22.424,22.494,22.526,22.626,17.328,17.404,18.16,18.916,19.568,19.064,20.3,21.858,22.43,22.868,16.878,16.982,17.816,19.16,19.76,5.06,7.008,9.548,11.484,12.756,18.928,22.158,22.226,18.432,19.95,19.332,18.49,19.642,19.226,18.35,19.596,19.148,18.57,20.01,19.626
