,noisy guesser:w2v:0.0,noisy guesser:w2v:0.25,noisy guesser:w2v:0.5,noisy guesser:w2v:0.75,noisy guesser:w2v:1.0,noisy guesser:glove 300:0.0,noisy guesser:glove 300:0.25,noisy guesser:glove 300:0.5,noisy guesser:glove 300:0.75,noisy guesser:glove 300:1.0,noisy guesser:cn_nb:0.0,noisy guesser:cn_nb:0.25,noisy guesser:cn_nb:0.5,noisy guesser:cn_nb:0.75,noisy guesser:cn_nb:1.0,noisy guesser:d2v:0.0,noisy guesser:d2v:0.25,noisy guesser:d2v:0.5,noisy guesser:d2v:0.75,noisy guesser:d2v:1.0,noisy guesser:glove 100:0.0,noisy guesser:glove 100:0.25,noisy guesser:glove 100:0.5,noisy guesser:glove 100:0.75,noisy guesser:glove 100:1.0,noisy guesser:fast-text:0.0,noisy guesser:fast-text:0.25,noisy guesser:fast-text:0.5,noisy guesser:fast-text:0.75,noisy guesser:fast-text:1.0,noisy guesser:w2v_glove_300:0.0,noisy guesser:w2v_glove_300:0.25,noisy guesser:w2v_glove_300:0.5,noisy guesser:w2v_glove_300:0.75,noisy guesser:w2v_glove_300:1.0,noisy guesser:elmo:0.0,noisy guesser:elmo:0.25,noisy guesser:elmo:0.5,noisy guesser:elmo:0.75,noisy guesser:elmo:1.0,bayesian guesser:0.0:0:1,bayesian guesser:0.0:1:0,bayesian guesser:0.0:0.5:0.5,bayesian guesser:0.25:0:1,bayesian guesser:0.25:1:0,bayesian guesser:0.25:0.5:0.5,bayesian guesser:0.5:0:1,bayesian guesser:0.5:1:0,bayesian guesser:0.5:0.5:0.5,bayesian guesser:0.75:0:1,bayesian guesser:0.75:1:0,bayesian guesser:0.75:0.5:0.5,bayesian guesser:1.0:0:1,bayesian guesser:1.0:1:0,bayesian guesser:1.0:0.5:0.5
noisy spymaster:glove 100:0.0,7.474,7.598,7.654,8.05,8.106,4.992,5.194,5.776,6.384,6.874,5.998,7.988,8.396,8.428,8.526,8.128,8.276,8.18,8.2,8.16,3.428,4.054,4.87,5.774,6.624,7.3,7.586,8.13,8.194,8.11,5.168,5.464,5.792,6.362,6.982,7.366,7.392,7.282,7.226,7.24,7.928,8.132,11.776,8.086,7.57,9.218,8.086,7.338,9.034,7.718,7.374,8.836,7.732,7.374,8.818
noisy spymaster:glove 100:0.25,7.474,7.772,7.604,7.888,8.096,4.992,5.348,5.902,6.596,6.954,5.998,7.858,8.0,8.152,8.184,8.128,8.118,8.07,7.928,7.94,3.428,4.094,4.856,5.526,6.272,7.3,7.802,8.288,8.556,8.506,5.168,5.416,5.942,6.454,6.74,7.366,7.32,7.306,7.254,7.356,7.928,8.132,11.776,8.086,7.57,9.218,8.086,7.338,9.034,7.718,7.374,8.836,7.732,7.374,8.818
noisy spymaster:glove 100:0.5,7.478,7.77,7.606,7.886,8.096,4.994,5.342,5.892,6.592,6.954,5.998,7.852,7.998,8.152,8.184,8.136,8.108,8.046,7.928,7.942,3.43,4.1,4.868,5.54,6.284,7.292,7.796,8.272,8.55,8.506,5.162,5.41,5.94,6.452,6.752,7.358,7.314,7.314,7.256,7.368,7.916,8.144,11.806,8.08,7.574,9.222,8.088,7.33,9.022,7.75,7.354,8.826,7.726,7.4,8.84
noisy spymaster:glove 100:0.75,7.504,7.756,7.692,7.942,8.148,5.116,5.494,5.952,6.626,6.974,6.014,7.888,7.998,8.17,8.178,8.15,8.09,8.006,7.924,7.974,3.508,4.17,4.954,5.646,6.328,7.4,7.806,8.298,8.55,8.486,5.344,5.494,5.998,6.42,6.806,7.414,7.278,7.3,7.332,7.456,8.02,8.112,11.85,8.138,7.59,9.082,8.044,7.442,9.086,7.934,7.368,9.018,7.876,7.442,9.058
noisy spymaster:glove 100:1.0,7.57,7.704,7.864,7.964,8.186,5.504,5.786,6.242,6.862,7.194,6.366,8.124,8.104,8.182,8.158,8.178,8.172,8.022,8.024,8.034,3.868,4.582,5.556,6.092,6.606,7.528,7.962,8.388,8.56,8.604,5.546,5.758,6.192,6.57,6.85,7.338,7.29,7.426,7.454,7.608,8.11,8.212,11.938,8.25,7.758,9.52,8.266,7.462,9.556,8.208,7.618,9.244,8.308,7.478,9.582
noisy spymaster:fast-text:0.0,6.798,7.204,7.75,8.2,8.546,6.622,6.752,6.926,7.142,7.58,5.742,7.91,8.534,8.754,8.764,8.34,8.498,8.436,8.694,8.466,7.104,7.19,7.412,7.686,7.858,4.636,6.756,8.088,8.212,8.342,6.488,6.604,6.898,7.404,7.7,7.586,7.658,7.77,7.742,7.806,7.93,7.924,11.59,7.868,7.412,8.794,7.846,7.47,8.918,7.712,7.216,8.438,7.644,7.212,8.516
noisy spymaster:fast-text:0.25,6.796,7.148,7.72,8.304,8.62,6.62,6.756,6.91,7.388,7.492,5.714,8.062,8.382,8.526,8.568,8.342,8.508,8.728,8.7,8.904,7.12,7.28,7.476,7.826,7.826,4.652,6.836,7.994,8.476,8.51,6.48,6.608,6.986,7.342,7.484,7.576,7.652,7.592,7.618,7.688,7.93,7.912,11.524,7.88,7.414,8.808,7.838,7.49,8.904,7.724,7.23,8.47,7.652,7.218,8.514
noisy spymaster:fast-text:0.5,7.484,7.694,7.978,8.56,8.57,7.394,7.528,7.526,7.902,7.996,6.736,8.244,8.49,8.634,8.58,8.566,8.778,8.73,8.848,8.85,7.734,7.708,7.95,8.3,8.366,5.618,7.676,8.26,8.67,8.612,7.202,7.394,7.764,7.97,8.116,8.116,8.182,8.034,7.976,8.01,8.608,8.12,11.87,8.688,7.698,9.596,8.53,7.722,9.668,8.598,7.546,9.632,8.59,7.604,9.616
noisy spymaster:fast-text:0.75,8.036,8.124,8.158,8.51,8.62,8.124,8.108,8.262,8.372,8.294,7.792,8.378,8.624,8.606,8.514,8.59,8.678,8.768,8.844,8.86,8.192,8.256,8.29,8.294,8.7,7.308,7.942,8.382,8.608,8.582,8.02,8.052,8.434,8.5,8.472,8.158,8.48,8.358,8.308,8.31,8.84,8.314,11.858,9.532,7.996,9.88,9.398,8.04,10.364,9.42,8.212,10.258,9.404,7.936,10.294
noisy spymaster:fast-text:1.0,8.164,8.036,8.18,8.548,8.706,8.156,8.318,8.54,8.388,8.306,8.188,8.354,8.556,8.542,8.488,8.71,8.728,8.702,8.866,8.806,8.382,8.546,8.454,8.524,8.666,7.966,8.148,8.498,8.824,8.66,8.118,8.364,8.49,8.486,8.522,8.198,8.546,8.422,8.244,8.09,8.926,8.392,11.96,9.756,8.104,10.014,9.602,8.37,10.422,9.37,8.344,10.494,9.392,8.106,10.508
